source target weight
bat "black heart" 2
bat "cat face" 1
bat collision 1
bat "crescent moon" 1
bat "dragon face" 1
bat "exclamation mark" 1
bat ghost 2
bat "hot dog" 1
bat jack-o-lantern 2
bat "kiss mark" 1
bat "orange heart" 1
bat "red heart" 2
bat "sign of the horns light skin tone" 1
bat "smiling face with horns" 1
bat spider 3
bat "weary face" 1
bathtub "oncoming automobile" 1
bathtub "smiling face with 3 hearts" 1
battery "bar chart" 1
battery "folded hands medium-dark skin tone" 1
battery "trade mark" 1
battery "woman fairy" 1
"beach with umbrella" "beer mug" 1
"beach with umbrella" "family woman girl" 1
"beach with umbrella" "index pointing up" 1
"beaming face with smiling eyes" alien 1
"beaming face with smiling eyes" "artist palette" 5
"beaming face with smiling eyes" "black heart" 1
"beaming face with smiling eyes" "black nib" 1
"beaming face with smiling eyes" "blue heart" 3
"beaming face with smiling eyes" "call me hand medium-dark skin tone" 1
"beaming face with smiling eyes" "clapping hands" 2
"beaming face with smiling eyes" "double exclamation mark" 1
"beaming face with smiling eyes" "face blowing a kiss" 2
"beaming face with smiling eyes" "face savoring food" 2
"beaming face with smiling eyes" "face screaming in fear" 1
"beaming face with smiling eyes" "face with tears of joy" 6
"beaming face with smiling eyes" "fast-forward button" 1
"beaming face with smiling eyes" fire 1
"beaming face with smiling eyes" "flushed face" 1
"beaming face with smiling eyes" "folded hands light skin tone" 1
"beaming face with smiling eyes" "grimacing face" 2
"beaming face with smiling eyes" "grinning face with smiling eyes" 2
"beaming face with smiling eyes" "grinning face with sweat" 3
"beaming face with smiling eyes" "grinning squinting face" 3
"beaming face with smiling eyes" "growing heart" 1
"beaming face with smiling eyes" "heart suit" 1
"beaming face with smiling eyes" "heavy heart exclamation" 1
"beaming face with smiling eyes" honeybee 1
"beaming face with smiling eyes" "hugging face" 3
"beaming face with smiling eyes" lollipop 1
"beaming face with smiling eyes" "loudly crying face" 1
"beaming face with smiling eyes" "man shrugging medium skin tone" 1
"beaming face with smiling eyes" "milky way" 1
"beaming face with smiling eyes" "ok hand" 3
"beaming face with smiling eyes" "ok hand light skin tone" 1
"beaming face with smiling eyes" "oncoming fist" 1
"beaming face with smiling eyes" "orange heart" 1
"beaming face with smiling eyes" paintbrush 1
"beaming face with smiling eyes" "party popper" 1
"beaming face with smiling eyes" pen 1
"beaming face with smiling eyes" pencil 1
"beaming face with smiling eyes" "performing arts" 1
"beaming face with smiling eyes" "poultry leg" 1
"beaming face with smiling eyes" "purple heart" 4
"beaming face with smiling eyes" rainbow 2
"beaming face with smiling eyes" "raising hands light skin tone" 1
"beaming face with smiling eyes" "red heart" 8
"beaming face with smiling eyes" "right arrow" 1
"beaming face with smiling eyes" "rolling on the floor laughing" 1
"beaming face with smiling eyes" "slightly smiling face" 1
"beaming face with smiling eyes" "smiling face" 1
"beaming face with smiling eyes" "smiling face with 3 hearts" 5
"beaming face with smiling eyes" "smiling face with halo" 2
"beaming face with smiling eyes" "smiling face with heart-eyes" 1
"beaming face with smiling eyes" "smiling face with smiling eyes" 4
"beaming face with smiling eyes" "smiling face with sunglasses" 3
"beaming face with smiling eyes" "smirking face" 1
"beaming face with smiling eyes" sparkles 3
"beaming face with smiling eyes" "sparkling heart" 2
"beaming face with smiling eyes" "speaking head" 1
"beaming face with smiling eyes" sunflower 1
"beaming face with smiling eyes" "thumbs up" 14
"beaming face with smiling eyes" "thumbs up medium-dark skin tone" 2
"beaming face with smiling eyes" "thumbs up medium skin tone" 1
"beaming face with smiling eyes" "tired face" 1
"beaming face with smiling eyes" "upside-down face" 2
"beaming face with smiling eyes" "victory hand" 1
"beaming face with smiling eyes" "victory hand dark skin tone" 1
"beaming face with smiling eyes" "white medium star" 2
"beaming face with smiling eyes" "wine glass" 1
"beaming face with smiling eyes" "winking face" 4
"beaming face with smiling eyes" "winking face with tongue" 2
"beaming face with smiling eyes" "woman dancing" 1
"beaming face with smiling eyes" "yellow heart" 1
"bear face" "artist palette" 1
"bear face" butterfly 1
"bear face" "cherry blossom" 1
"bear face" "down arrow" 1
"bear face" fish 2
"bear face" "green heart" 1
"bear face" "grinning face with smiling eyes" 1
"bear face" hamburger 1
"bear face" honeybee 1
"bear face" lemon 1
"bear face" "panda face" 1
"bear face" "purple heart" 1
"bear face" "rabbit face" 1
"bear face" "raising hands" 1
"bear face" "red heart" 1
"bear face" "soccer ball" 1
"bear face" "sparkling heart" 1
"bear face" "two hearts" 2
"bear face" "yellow heart" 1
"bearded person" "smiling face with horns" 1
"bearded person light skin tone" "evergreen tree" 1
"bearded person medium skin tone" "map of japan" 1
"beating heart" "artist palette" 1
"beating heart" "black heart" 2
"beating heart" "blue heart" 1
"beating heart" "brown heart" 1
"beating heart" "cherry blossom" 1
"beating heart" "chocolate bar" 5
"beating heart" "clapping hands" 1
"beating heart" copyright 1
"beating heart" crown 1
"beating heart" "down arrow" 1
"beating heart" "drooling face" 1
"beating heart" "face blowing a kiss" 2
"beating heart" "fallen leaf" 1
"beating heart" fire 1
"beating heart" "folded hands" 1
"beating heart" "glowing star" 1
"beating heart" "green heart" 3
"beating heart" "growing heart" 21
"beating heart" "heart decoration" 2
"beating heart" "heart suit" 1
"beating heart" "heart with arrow" 16
"beating heart" "heart with ribbon" 9
"beating heart" "heavy heart exclamation" 1
"beating heart" herb 1
"beating heart" "high-heeled shoe" 1
"beating heart" "high voltage" 1
"beating heart" infinity 1
"beating heart" "kiss mark" 3
"beating heart" "loudly crying face" 2
"beating heart" "maple leaf" 1
"beating heart" "orange heart" 1
"beating heart" "part alternation mark" 1
"beating heart" "party popper" 1
"beating heart" pencil 1
"beating heart" "pleading face" 2
"beating heart" "purple heart" 1
"beating heart" "red heart" 6
"beating heart" "revolving hearts" 19
"beating heart" ribbon 2
"beating heart" rose 1
"beating heart" "round pushpin" 1
"beating heart" "see-no-evil monkey" 1
"beating heart" "smiling face" 1
"beating heart" "smiling face with 3 hearts" 2
"beating heart" "smiling face with heart-eyes" 3
"beating heart" sparkles 9
"beating heart" "sparkling heart" 16
"beating heart" sunflower 1
"beating heart" tulip 1
"beating heart" "two hearts" 17
"beating heart" "woman fairy" 1
"beating heart" "woman in lotus position" 2
"beating heart" "yellow heart" 2
bed bathtub 1
bed zzz 1
"beer mug" "clinking beer mugs" 1
"beer mug" "double exclamation mark" 1
"beer mug" "smiling face with heart-eyes" 1
"beer mug" "smiling face with sunglasses" 1
"beer mug" taco 1
"beer mug" "wine glass" 1
bell "alarm clock" 1
bell link 1
bell "oncoming fist medium skin tone" 1
bell "purple heart" 1
"bellhop bell" "exclamation mark" 2
"bento box" "curry rice" 1
"bento box" "hot beverage" 1
"bento box" popcorn 1
"beverage box" "hatching chick" 1
bikini "cross mark" 1
bikini sun 1
"billed cap" "chart increasing" 1
"billed cap" "down arrow" 1
"billed cap" fire 1
"billed cap" rocket 1
"billed cap" sparkles 1
"billed cap" sunglasses 1
"billed cap" t-shirt 2
bird "clapping hands" 1
bird dolphin 1
bird fire 1
bird microphone 1
bird parrot 1
bird pen 1
"birthday cake" "artist palette" 3
"birthday cake" balloon 4
"birthday cake" "black heart" 1
"birthday cake" "bottle with popping cork" 1
"birthday cake" "clapping hands" 1
"birthday cake" "confetti ball" 1
"birthday cake" dog 1
"birthday cake" "grinning face" 1
"birthday cake" "hatching chick" 1
"birthday cake" "hot beverage" 1
"birthday cake" jack-o-lantern 1
"birthday cake" "kiss mark" 1
"birthday cake" "meat on bone" 1
"birthday cake" "party popper" 5
"birthday cake" "red heart" 1
"birthday cake" "regional indicator symbol letter f" 1
"birthday cake" shortcake 2
"birthday cake" "smiling face with 3 hearts" 1
"birthday cake" sparkles 1
"birthday cake" "two hearts" 1
"birthday cake" warning 2
"birthday cake" "wrapped gift" 1
"black circle" "blue circle" 4
"black circle" fire 2
"black circle" "small blue diamond" 1
"black circle" tornado 1
"black circle" "white circle" 3
"black flag" "partying face" 2
"black flag" "u200d:rugby football" 2
"black heart" alien 2
"black heart" "artist palette" 2
"black heart" "backhand index pointing right" 1
"black heart" bat 3
"black heart" "beaming face with smiling eyes" 1
"black heart" "birthday cake" 1
"black heart" "blue heart" 5
"black heart" bone 1
"black heart" "broken heart" 1
"black heart" butterfly 1
"black heart" "camera with flash" 2
"black heart" chains 2
"black heart" "cherry blossom" 1
"black heart" chipmunk 1
"black heart" "clapping hands dark skin tone" 2
